id,day,month,year,month(no),date,location,OSGridRef,latitude ,longitude,Nation,comments
1,7,December,1154,12,7-12-1154,Barfleur,,49.6711,-1.2633,France,"Henry, Duke of Normandy, embarked at Barfleur for England.  The ' Duchess Alianora' accompanied 3 him, as did his two brothers, Geoffrey and William."
2,8,December,1154,12,8-12-1154,Hampshire (New Forest),SU2581608959,50.879,-1.633,England,Duke Henry landed near the New Forest.
3,8,December,1154,12,8-12-1154,Winchester,SU4779329466,51.062549,-1.3193687,England,"Duke Henry next proceeded to Winchester, where several Nobles met him, to do fealty."
4,19,December,1154,12,19-12-1154,Westminster,TQ3016079670,51.500988,-0.12617168,England,King Henry crowned at Westminster
5,25,December,1154,12,25-12-1154,Bermondsey,TQ3355679549,51.4986,-0.0757,England,Henry held his Court at Bermondsey.
6,c.4,January,1155,1,c.4-1-1155,Oxford,SP5130006100,51.751253,-1.2582674,England,N/A
7,13,January,1155,1,13-1-1155,Oxford,SP5130006100,51.751253,-1.2582674,England,N/A
8,,January,1155,1,1-1155,Silverston,SP6696743966,52.09,-1.024,England,N/A
9,,January,1155,1,1-1155,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
10,,January,1155,1,1-1155,King's Cliff,TL0048197493,52.566,-0.519,England,N/A
11,,January,1155,1,1-1155,Peterborough,TL1951097985,52.566193,-0.236574,England,N/A
12,,January,1155,1,1-1155,Ramsey,TL2774685263,52.45,-0.12,England,Monastery
13,,January,1155,1,1-1155,Thorney,TF2819904392,52.62179,-0.10595,England,Monastery
14,,January,1155,1,1-1155,Spalding,TF2455422550,52.7858,-0.1529,England,Monastery
15,,January,1155,1,1-1155,Lincoln,SK9746471804,53.234336,-0.54124564,England,N/A
16,,February,1155,2,2-1155,York,SE6048651973,53.960106,-1.078017,England,N/A
17,,February,1155,2,2-1155,Scarborough,TA0405588046,54.2773,-0.4017,England,N/A
18,,February,1155,2,2-1155,Nottingham,SK5700040000,52.954357,-1.1530111,England,N/A
19,,February,1155,2,2-1155,Burton upon Trent,SK2459322771,52.801944,-1.636667,England,N/A
20,,February,1155,2,2-1155,Alrewas,SK1694714996,52.732,-1.749,England,N/A
21,,February,1155,2,2-1155,Radmore,SK0441812359,52.708539,-1.934595,England,Abbey (later hunting lodge)
22,c.27,March,1155,3,c.27-3-1155,London,TQ3248081340,51.515457,-0.092140265,England,N/A
23,c.27,March,1155,3,c.27-3-1155,Westminster,TQ3016079670,51.500988,-0.12617168,England,N/A
24,10,April,1155,4,10-4-1155,Wallingford,SU6059889321,51.599,-1.125,England,The King holds a great Council at Wallingford
25,,May,1155,5,5-1155,Cleobury Mortimer,SO6718675758,52.3785,-2.4821,England,"Immediately after the Council of Wallingford, the King went to suppress the rebellion of Hugh de Mortimer.  The sieges of Cleobury, Wigmore, and Bridgenorth, occupied most of the summer."
26,,May,1155,5,5-1155,Wigmore,SO4130269091,52.3164,-2.8612,England,"Immediately after the Council of Wallingford, the King went to suppress the rebellion of Hugh de Mortimer.  The sieges of Cleobury, Wigmore, and Bridgenorth, occupied most of the summer."
27,,May,1155,5,5-1155,Bridgenorth,SO7164293098,52.535,-2.4195,England,"Immediately after the Council of Wallingford, the King went to suppress the rebellion of Hugh de Mortimer.  The sieges of Cleobury, Wigmore, and Bridgenorth, occupied most of the summer."
28,7,July,1155,7,7-7-1155,Bridgenorth,SO7164293098,52.535,-2.4195,England,"A great Council was summoned to Bridgenorth, whereat the terms of the ""King's Peace"" with Mortimer were settled."
29,,July,1155,7,7-1155,Worcester,SO8496354929,52.192,-2.22,England,"A great Council was summoned to Bridgenorth, whereat the terms of the ""King's Peace"" with Mortimer were settled."
30,,August,1155,8,8-1155,Worcester,SO8496354929,52.192,-2.22,England,N/A
31,,September,1155,9,9-1155,Worcester,SO8496354929,52.192,-2.22,England,N/A
32,,September,1155,9,9-1155,Salisbury,SU1471230154,51.07,-1.79,England,N/A
33,29,September,1155,9,29-9-1155,Winchester,SU4779329466,51.062549,-1.3193687,England,The King held a great Council at Winchester
34,,,1155,,1155,Cricklade,SU0996393639,51.641,-1.856,England,N/A
35,,,1155,,1155,Woodstock,SP4449616513,51.845,-1.354,England,N/A
36,,,1155,,1155,Windsor,SU9691277019,51.483333,-0.604167,England,N/A
37,,,1155,,1155,Woodstock,SP4449616513,51.845,-1.354,England,N/A
38,,,1155,,1155,Newbury,SU4708967157,51.401,-1.323,England,N/A
39,,,1155,,1155,Windsor,SU9691277019,51.483333,-0.604167,England,N/A
40,25,December,1155,12,25-12-1155,Westminster,TQ3016079670,51.500988,-0.12617168,England,The King held a Council at Westminster.
41,c.1,January,1156,1,c.1-1-1156,Canterbury,TR1454057430,51.275608,1.0745524,England,"The King probably went to Canterbury, after the Council of Westminster."
42,2,January,1156,1,2-1-1156,Dover,TR3161341898,51.1295,1.3089,England,N/A
43,3,January,1156,1,3-1-1156,Dover,TR3161341898,51.1295,1.3089,England,N/A
44,4,January,1156,1,4-1-1156,Dover,TR3161341898,51.1295,1.3089,England,N/A
45,5,January,1156,1,5-1-1156,Dover,TR3161341898,51.1295,1.3089,England,N/A
46,6,January,1156,1,6-1-1156,Dover,TR3161341898,51.1295,1.3089,England,N/A
47,7,January,1156,1,7-1-1156,Dover,TR3161341898,51.1295,1.3089,England,N/A
48,8,January,1156,1,8-1-1156,Dover,TR3161341898,51.1295,1.3089,England,N/A
49,9,January,1156,1,9-1-1156,Dover,TR3161341898,51.1295,1.3089,England,N/A
50,10,January,1156,1,10-1-1156,Dover,TR3161341898,51.1295,1.3089,England,N/A
51,,January,1156,1,1-1156,Wissant (Witsand),,50.8861,1.6636,France,"The King embarks from Dover, and lands at Witsand, in Picardy."
52,,January,1156,1,1-1156,St. Omer,,50.7461,2.2617,France,N/A
53,2,February,1156,2,2-2-1156,Rouen,,49.442778,1.088611,France,N/A
54,5,February,1156,2,5-2-1156,Marches of Normandy,,49.09293671,1.600701688,France,"K. Henry holds a conference with Louis VII. on the Marches of borders of France and Normandy and does homage to the French King for Normandy, Anjou, Touraine, Maine, and Aquitaine"
55,,February,1156,2,2-1156,Mirebeau,,46.7858,0.1825,France,King Henry besieges Mirebeau
56,,February,1156,2,2-1156,Chinon,,47.1678,0.2436,France,King Henry besieges Chinon
57,c.,May,1156,5,c.5-1156,Loudun,,47.0106,0.0844,France,"The King reduces Mirebeau and Chinon, after long sieges.  Londun (in Touraine) is surrendered to him."
58,c.,July,1156,7,c.7-1156,Chinon,,47.1678,0.2436,France,N/A
59,29,August,1156,8,29-8-1156,Saumur,,47.26,-0.0769,France,"The Abbot of Battle, having crossed the sea, finds the King at Saumur (in Anjou) ."
60,29,September,1156,9,29-9-1156,Anjou,,47.473612,-0.554167,France,The King is assumed to have been still in Anjou.
61,30,September,1156,9,30-9-1156,Domfront,,48.5194,-0.7564,France,N/A
62,30,September,1156,9,30-9-1156,Pont-Audemer,,49.356389,0.515556,France,N/A
63,30,September,1156,9,30-9-1156,Caen,,49.18,-0.37,France,N/A
64,,October,1156,10,10-1156,Limoges,,45.8353,1.2625,France,N/A
65,c.11,November,1156,11,c.11-11-1156,Argentan,,48.75,-0.02,France,N/A
66,25,December,1156,12,25-12-1156,Bourdeaux,,44.84,-0.58,France,N/A
67,31,December,1156,12,31-12-1156,Guienne,,43.977,-0.176,France,N/A
68,,January,1157,1,1-1157,Mortain,,48.6486,-0.9397,France,Early in this year the King is stated to have visited Mortain.
69,,January,1157,1,1-1157,Falaise,,48.897222,-0.1975,France,N/A
70,,,1157,,1157,Caen,,49.18,-0.37,France,"There are several Charters which probably passed either in the last three months of the year 1156, or the first three months of 1157. I quote them, with no assumption as to their exacter date or relative sequence."
71,,,1157,,1157,Bayeux,,49.2794,-0.7028,France,N/A
72,,,1157,,1157,Rouen,,49.442778,1.088611,France,N/A
73,,,1157,,1157,Valognes,,49.52,-1.47,France,N/A
74,c.,March,1157,3,c.3-1157,Cherbourg,,49.63,-1.62,France,N/A
75,c.,March,1157,3,c.3-1157,Barfleur,,49.6711,-1.2633,France,N/A
76,c.1,April,1157,4,c.1-4-1157,Barfleur,,49.6711,-1.2633,France,N/A
77,c.8,April,1157,4,c.8-4-1157,Southampton,SU4189211677,50.9025,-1.404167,England,"The King embarks at Barfleur, lands at Southampton and proceeds to London"
78,,April,1157,4,4-1157,London,TQ3248081340,51.515457,-0.092140265,England,"The King embarks at Barfleur, lands at Southampton and proceeds to London"
79,,April,1157,4,4-1157,Ongar,TL 55447 03085,51.70497371,0.2482287591,England,The King is next heard of at Richard de Lucy's Castle of Ongar in Essex
80,,April,1157,4,4-1157,Norwich,TG2322108686,52.63,1.297,England,N/A
81,,April,1157,4,4-1157,Thetford,TL8634382684,52.41,0.74,England,N/A
82,19,May,1157,5,19-5-1157,Bury St. Edmunds,TL8566764505,52.2474,0.7183,England,The King was crowned at Bury St. Edmunds
83,23,May,1157,5,23-5-1157,Colchester,TL9985525443,51.8917,0.903,England,N/A
84,24,May,1157,5,24-5-1157,Colchester,TL9985525443,51.8917,0.903,England,N/A
85,25,May,1157,5,25-5-1157,Colchester,TL9985525443,51.8917,0.903,England,N/A
86,26,May,1157,5,26-5-1157,Colchester,TL9985525443,51.8917,0.903,England,N/A
87,27,May,1157,5,27-5-1157,Colchester,TL9985525443,51.8917,0.903,England,N/A
88,28,May,1157,5,28-5-1157,Colchester,TL9985525443,51.8917,0.903,England,N/A
89,c.,June,1157,6,c.6-1157,Waltham,TL6944613455,51.793598,0.45738,England,Either Great Waltham or Little Waltham
90,c.,June,1157,6,c.6-1157,Writtle,TL6759106203,51.729,0.427,England,N/A
91,17,July,1157,7,17-7-1157,Northampton,SP7549060562,52.238083,-0.89592755,England,The King holds a Great Council at Northampton.
92,,July,1157,7,7-1157,Peak Castle,SK1483282641,53.3402,-1.7772,England,N/A
93,,July,1157,7,7-1157,Chester,SJ4063166249,53.19,-2.89,England,The King invades North Wales.
94,,July,1157,7,7-1157,Counsylth,SJ2866467444,53.199,-3.068,Wales,The English army falls into an ambuscade near Basingwerk (at Counsylth).
95,c.,August,1157,8,c.8-1157,Snowdon,SH6090554410,53.068497,-4.076231,Wales,The King penetrates as far as Snowdon.
96,c.,August,1157,8,c.8-1157,Rhuddlan,SJ0243178478,53.294,-3.464,Wales,The King fortifies the castle of Rhudlan
97,c.,August,1157,8,c.8-1157,Basingwerk,SJ1948077492,53.288,-3.208,Wales,The King fortifies the castle of Basingwerk
98,c.,August,1157,8,c.8-1157,Chester,SJ4063166249,53.19,-2.89,England,N/A
99,c.,August,1157,8,c.8-1157,Tamworth,SK2063903999,52.633,-1.695,England,N/A
100,c.,September,1157,9,c.9-1157,Malmesbury,ST9330787243,51.584,-2.098,England,Abbey
101,c.,September,1157,9,c.9-1157,Windsor,SU9691277019,51.483333,-0.604167,England,N/A
102,c.,September,1157,9,c.9-1157,Woodstock,SP4449616513,51.845,-1.354,England,N/A
103,8,September,1157,9,8-9-1157,Oxford,SP5130006100,51.751253,-1.2582674,England,N/A
104,,October,1157,10,10-1157,Oxford,SP5130006100,51.751253,-1.2582674,England,N/A
