id,day,month,year,date,location,latitude,longitude,comments
1,21,Sept,1136,21-9-1136,Carrouges,48.5683,-0.1444,N/A
2,21,Sept,1136,21-9-1136,Ecouché,48.718,-0.1236,N/A
3,21,Sept,1136,21-9-1136,Saint-Georges d'Asnebec,48.6339,-0.2639,(Saint-Georges-d'Annebecq)
4,21,Sept,1136,21-9-1136,Montreuil-au-Houlme,48.6872,-0.2619,N/A
5,21,Sept,1136,21-9-1136,Moutiers-Hubert,48.9775,0.2675,N/A
6,1,Oct,1136,1-10-1136,Le Sap,48.895,0.3394,N/A
7,4,Oct,1136,4-10-1136,Sées,48.6053,0.1719,N/A
8,,,1137,1137,Basoches,49.1711,0.5503,N/A
9,,,1137,1137,Argences,49.1269,-0.1664,N/A
10,,,1137,1137,Gué Béranger,49.1222,-0.1972,N/A
11,,,1137,1137,Anjou,47.473612,-0.554167,N/A
12,1,Oct,1138,1-10-1138,Falaise,48.897222,-0.1975,"Appears as ""Falaise (unsuccessful siege)"" in text"
13,2,Oct,1138,2-10-1138,Falaise,48.897222,-0.1975,"Appears as ""Falaise (unsuccessful siege)"" in text"
14,3,Oct,1138,3-10-1138,Falaise,48.897222,-0.1975,"Appears as ""Falaise (unsuccessful siege)"" in text"
15,4,Oct,1138,4-10-1138,Falaise,48.897222,-0.1975,"Appears as ""Falaise (unsuccessful siege)"" in text"
16,5,Oct,1138,5-10-1138,Falaise,48.897222,-0.1975,"Appears as ""Falaise (unsuccessful siege)"" in text"
17,6,Oct,1138,6-10-1138,Falaise,48.897222,-0.1975,"Appears as ""Falaise (unsuccessful siege)"" in text"
18,7,Oct,1138,7-10-1138,Falaise,48.897222,-0.1975,"Appears as ""Falaise (unsuccessful siege)"" in text"
19,8,Oct,1138,8-10-1138,Falaise,48.897222,-0.1975,"Appears as ""Falaise (unsuccessful siege)"" in text"
20,9,Oct,1138,9-10-1138,Falaise,48.897222,-0.1975,"Appears as ""Falaise (unsuccessful siege)"" in text"
21,10,Oct,1138,10-10-1138,Falaise,48.897222,-0.1975,"Appears as ""Falaise (unsuccessful siege)"" in text"
