id,day,month,year,date,location,OSGridRef,latitude,longitude,Nation,comments
1,24,july,1307,24-7-1307,Carlisle,NY3954755548,54.891,-2.944,England,N/A
2,6,august,1307,6-8-1307,Dumfries,NX9773776234,55.07,-3.603,Scotland,N/A
3,18,august,1307,18-8-1307,Sanquhar,NS7811609901,55.36793,-3.92463,Scotland,Appears as Senewhare
4,20,august,1307,20-8-1307,Cumnock,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
5,21,august,1307,21-8-1307,Cumnock,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
6,22,august,1307,22-8-1307,Cumnock,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
7,23,august,1307,23-8-1307,Cumnock,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
8,24,august,1307,24-8-1307,Cumnock,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
9,25,august,1307,25-8-1307,Cumnock,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
10,26,august,1307,26-8-1307,Cumnock,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
11,28,august,1307,28-8-1307,Cumnock,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
12,28,august,1307,28-8-1307,Sanquhar,NS7811609901,55.36793,-3.92463,Scotland,Appears as Senewhare
13,30,august,1307,30-8-1307,Tynewald,NY0033781556,55.118333,-3.564167,Scotland,N/A
14,30,august,1307,30-8-1307,Dalgarnock,NX8785293640,55.2242,-3.7646,Scotland,N/A
15,31,august,1307,31-8-1307,Tynewald,NY0033781556,55.118333,-3.564167,Scotland,Appears as Anannd
16,1,september,1307,1-9-1307,Annan,NY1907966111,54.983,-3.266,Scotland,N/A
17,2,september,1307,2-9-1307,Carlisle,NY3954755548,54.891,-2.944,England,N/A
18,3,september,1307,3-9-1307,Carlisle,NY3954755548,54.891,-2.944,England,N/A
19,3,september,1307,3-9-1307,Penrith,NY5141230231,54.6648,-2.7548,England,N/A
20,4,september,1307,4-9-1307,Carlisle,NY3954755548,54.891,-2.944,England,N/A
21,4,september,1307,4-9-1307,Penrith,NY5141230231,54.6648,-2.7548,England,N/A
22,5,september,1307,5-9-1307,Appleby,NY6874720307,54.577,-2.485,England,N/A
23,6,september,1307,6-9-1307,Bowes,NY9951513411,54.516,-2.009,England,N/A
24,6,september,1307,6-9-1307,Burgh subtus Staynmor,NY3280259206,54.923,-3.05,England,N/A
