id,day,month,year,date,location,OSGridRef,latitude,longitude,Nation,comments
1,2,Aug,1100,2-8-1100,Winchester,SU4779329466,51.062549,-1.3193687,England,N/A
2,3,Aug,1100,3-8-1100,Winchester,SU4779329466,51.062549,-1.3193687,England,N/A
3,4,Aug,1100,4-8-1100,London,TQ3248081340,51.515457,-0.092140265,England,N/A
4,5,Aug,1100,5-8-1100,Westminster,TQ3016079670,51.500988,-0.12617168,England,(coronation)
5,14,Sept,1100,14-9-1100,Westminster,TQ3016079670,51.500988,-0.12617168,England,N/A
6,29,Sept,1100,29-9-1100,Salisbury,SU1428229527,51.064904,-1.7975682,England,N/A
7,,c Oct,1100,1100,Marlborough,SU1887169033,51.42,-1.73,England,N/A
8,1,Nov,1100,1-11-1100,Faritius appointed to Abingdon,,,,,
9,11,Nov,1100,11-11-1100,Westminster,TQ3016079670,51.500988,-0.12617168,England,(marriage)
10,2,Dec,1100,2-12-1100,Newnham-on-Severn,SO6906811691,51.803,-2.45,England,N/A
11,25,Dec,1100,25-12-1100,Westminster,TQ3016079670,51.500988,-0.12617168,England,N/A
12,10,Mar,1101,10-3-1101,Dover,TR3161341898,51.1295,1.3089,England,N/A
13,12,Mar,1101,12-3-1101,Rochester,TQ7414268559,51.389355,0.50145239,England,N/A
14,21,Apr,1101,21-4-1101,Winchester,SU4779329466,51.062549,-1.3193687,England,N/A
15,9,June,1101,9-6-1101,St Albans,TL1480007300,51.752638,-0.33830962,England,N/A
16,24,June,1101,24-6-1101,Pevensey,TQ6480304912,50.8203,0.3383,England,N/A
17,31,July,1101,31-7-1101,Winchester,SU4779329466,51.062549,-1.3193687,England,N/A
18,3,Sept,1101,3-9-1101,Windsor,SU9683776912,51.482886,-0.60683638,England,N/A
19,,c Oct,1101,1101,Winchester,SU4779329466,51.062549,-1.3193687,England,N/A
20,25,Dec,1101,25-12-1101,Westminster,TQ3016079670,51.500988,-0.12617168,England,N/A
